STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement_Flag,Quality_Flag,Source_Flag,Time_Observation,TMIN,Measurement_Flag2,Quality_Flag2,Source_Flag2,Time_Observation2
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041009,172,9999,9999,T,9999,-28,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041010,150,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041011,67,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041012,122,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041013,39,9999,9999,T,9999,-56,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041014,72,9999,9999,T,9999,-28,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041015,83,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041016,133,9999,9999,T,9999,17,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041017,128,9999,9999,T,9999,0,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041018,44,9999,9999,T,9999,-22,9999,9999,T,9999
GHCND:USS0005J42S,NIWOT9999CO9999US,3020.6,40.0333,-105.55,20041019,78,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040819,72,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040820,89,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040821,67,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040822,89,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040823,72,9999,9999,T,9999,6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040824,78,9999,9999,T,9999,0,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040825,89,9999,9999,T,9999,-6,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040826,100,9999,9999,T,9999,17,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040827,83,9999,9999,T,9999,-28,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040828,94,9999,9999,T,9999,-33,9999,9999,T,9999
GHCND:USS0007M32S,BEARTOWN9999CO9999US,3535.7,37.7167,-107.5167,20040829,111,9999,9999,T,9999,-6,9999,9999,T,9999
